ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(2, 3, 3)",3691.2938739088995,3650.525361059842,3740.1741010666437,3679.0338137046992,3574.131503687716,3482.427639955423,3546.653203978237,3670.4427104974,3742.5202063706492,3553.7746004451774,3674.354024397083,3711.0783375008077,3672.3983674472415
"(2, 3, 4)",3685.2518812384515,3651.2808399744445,3755.486139847725,3680.8479852646124,3578.7334094903335,3486.7303206382044,3543.0540263057037,3669.7796075950396,3743.9527937912335,3563.335919822872,3675.2609828831273,3714.979127969603,3672.5202952390837
"(2, 4, 0)",3894.276520676609,3976.2140376760176,4025.0173698260646,3960.7540265888556,3920.471039059009,3787.019623011682,3900.6408995980714,3895.741867367771,4023.520740265383,3894.7656380831263,3953.4420422262865,3978.572022933104,3936.9565406426477
"(2, 4, 1)",3745.103695124566,3725.2247711145073,3842.4972592449417,3755.396809722408,3648.630324864515,3536.1815667669707,3618.164735215807,3723.285205179105,3808.826209245885,3644.3418868564777,3751.967757100175,3779.75864337852,3735.1642331195367
"(2, 4, 2)",3738.3614781167016,3721.1288280538975,3837.6633957954655,3752.0565117044976,3656.037777958119,3537.5054030875417,3612.710821628022,3718.33960045601,3804.3147300320925,3644.765243807775,3748.2217852433087,3775.8012714852666,3729.7451530852995
"(2, 4, 3)",3742.9763787234333,3761.714033944021,3863.928689658448,3784.0035114568814,3670.3765432310765,3565.062993794858,3663.516866356601,3738.1174115869344,3834.7170695142804,3689.7803948000483,3780.104450802743,3797.837046345443,3752.345206333727
"(2, 4, 4)",3742.1128302098596,3723.1180303206,3835.3457760669507,3765.590189964856,3654.5592343934677,3536.030336349486,3644.869811880779,3727.517075957966,3807.887820282648,3642.1350384236266,3751.7240998754996,3790.5237510094594,3734.8149530839128
"(3, 0, 0)",3710.943071948137,3666.3147025822163,3785.1728119274144,3709.1853974766786,3577.2834499834107,3481.100190368393,3564.868563338271,3684.9851761222335,3769.891203958099,3567.926308040332,3717.799339358072,3749.1610352372936,3697.0852867994563
"(3, 0, 1)",3705.531406338294,3666.5314865952023,3784.401384078989,3708.6368062764222,3576.9158795772037,3483.3280712827664,3566.5084825703325,3680.362389115352,3766.7415342091326,3567.554065755975,3713.949784832828,3744.4073962595226,3692.946897726823
"(3, 0, 2)",3718.529848030105,3664.056240888317,3783.642989460589,3709.219774649163,3575.366559096752,3484.1015870845754,3568.4251997426936,3691.577420954498,3768.111667460911,3575.47651781602,3712.991268633301,3750.7142766178767,3700.3985978018304
