ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(1, 1, 0)",3867.4469644023725,3739.1026149130284,3926.385312595119,3873.4083096892496,3619.0232330674135,3556.924459071982,3691.227540996111,3804.541707355258,4004.9048123168313,3650.3380720498944,3903.766869049773,4006.7157335473657,3803.648802421201
"(1, 1, 1)",3845.6547855892304,3795.853485624876,3888.053814537967,3918.800144756612,3624.6568807885014,3601.130248590466,3666.9062921015384,3803.414539438937,4019.225799717835,3630.291473182417,3910.544692446431,4060.7433282582065,3813.772957086086
"(1, 1, 2)",3920.1655194097993,3771.082346583137,3948.923977784009,3924.4414990810633,3600.948143054693,3585.506320182949,3713.774979876323,3878.4740536517734,3923.1722946121536,3611.1036612399166,3918.616447120554,4074.097386022033,3822.525552384867
"(1, 1, 3)",3916.482133450014,3729.984999937673,3943.370332164252,3896.4497768480187,3592.8497186789405,3574.270589422081,3718.7289503783304,3872.722145436515,4010.7484198233374,3607.6798042824803,3906.9673548257088,4038.8728038422255,3817.4272524241314
"(1, 1, 4)",3902.270627164466,3708.3728348672566,3947.778868987547,3899.2006320706355,3599.79184536251,3578.4186331576043,3635.797008474816,3870.157322667694,4031.0079679551263,3605.83156406511,3901.843022371569,4047.434700086291,3810.658752269219
"(1, 2, 0)",3692.647243039598,3712.6857092070495,3761.1526579197443,3701.166810632227,3598.7386980759447,3473.525636789356,3533.4343837520682,3679.924054221123,3768.160296585968,3538.2428143079946,3713.26094391067,3763.473780051442,3661.367752374432
"(1, 2, 1)",3693.3457945730443,3662.685594603795,3752.153888001658,3707.4684129756683,3618.0281985136908,3477.791547684521,3534.3157162512753,3684.801309685905,3768.396462546868,3533.3958895029054,3708.647152683471,3748.4659238197582,3657.457990903546
"(1, 2, 2)",3693.6072146374036,3646.492018651121,3751.6798402418253,3670.231092884524,3557.401942737958,3466.0295743282486,3490.5867966792503,3667.5592842915185,3762.050713587984,3518.053729238438,3707.632007461648,3730.1043091490224,3638.4523769907446
"(1, 2, 3)",3702.3478835645897,3633.311072241734,3747.4355732770864,3664.48962790701,3546.9385375181237,3470.1017705499853,3490.165811207274,3680.5320816010526,3762.652748756922,3520.208207180389,3708.625648667883,3730.192095476025,3638.0834214956735
"(1, 2, 4)",3691.8314176520416,3628.3490318360055,3751.5893977064197,3666.5771187292094,3545.8459614096964,3469.0627601482333,3491.4870295698556,3671.9060803975026,3764.5837885045776,3521.915456746441,3710.6816293217794,3732.407154128372,3637.1864021791775
"(1, 3, 0)",3752.3271288607116,3813.989329438785,3851.043379991972,3804.5052857190813,3737.682167487472,3588.8360395597383,3638.9969395627027,3746.18141945366,3862.3656270884017,3686.060506312051,3848.3270297875524,3875.1406937599304,3767.121295585171
"(1, 3, 1)",3676.9147484325163,3673.112191192912,3750.2053379249382,3686.3554781496523,3585.1911420371152,3482.418812493065,3523.4082911821756,3661.795762479872,3753.8201606532766,3553.9830657463176,3698.233865281128,3753.295926664337,3649.894565186443
