Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
02-08-2015,778.0,4821.0,14422.0,2858.0,8264,777,2122,175,913
03-08-2015,1500.0,8844.0,4685.0,2495.0,21993,4822,1138,36,771
04-08-2015,972.0,5204.0,12958.0,11935.0,20318,6364,259,97,720
05-08-2015,3602.0,10984.0,7432.0,2815.0,10173,1506,1440,167,800
06-08-2015,1055.0,1984.0,4303.0,1935.0,12181,3425,697,19,200
07-08-2015,696.0,7344.0,8477.0,4969.0,5084,1750,158,33,185
08-08-2015,2204.0,6762.0,8911.0,2436.0,11396,1123,1551,206,1040
09-08-2015,1635.0,4176.0,7770.0,3564.0,5108,496,217,22,702
10-08-2015,805.0,3045.0,4291.0,1979.0,5330,946,63,25,332
11-08-2015,3596.0,11347.0,5931.0,1601.0,5912,1421,226,46,777
12-08-2015,5564.0,10224.0,5768.0,3021.0,11228,1260,325,32,447
13-08-2015,5210.0,10331.0,5246.0,5019.0,6900,3700,1859,205,929
14-08-2015,2113.0,2636.0,9933.0,17051.0,47353,17268,538,106,1069
15-08-2015,1693.0,8999.0,18668.0,18919.0,15509,4959,655,183,1256
16-08-2015,2055.0,6699.0,17438.0,17397.0,12846,4370,1194,290,1854
17-08-2015,2391.0,5546.0,19184.0,22972.0,45992,16476,843,324,2338
18-08-2015,1661.0,6674.0,16083.0,22537.0,53696,17484,644,251,1699
19-08-2015,2530.0,9962.0,9642.0,12240.0,23219,9063,256,153,1194
20-08-2015,1640.0,8589.0,6185.0,5725.0,8072,4012,44,84,677
21-08-2015,1438.0,8253.0,5417.0,2734.0,13271,2631,106,65,539
22-08-2015,810.0,7067.0,1833.0,2215.0,13940,4090,265,115,909
23-08-2015,368.0,2003.0,6689.0,10028.0,31936,10068,727,191,1395
24-08-2015,321.0,3594.0,17119.0,14382.0,39893,9865,990,250,1508
25-08-2015,716.0,9824.0,15834.0,11960.0,40742,10687,1208,258,1688
26-08-2015,1935.0,11446.0,17577.0,9888.0,36881,8310,1557,244,682
27-08-2015,2315.0,15473.0,20253.0,13935.0,34334,9699,963,201,1426
28-08-2015,5315.0,17105.0,22829.0,9848.0,26760,4808,2027,256,1950
29-08-2015,4811.0,15530.0,21710.0,9111.0,21510,2569,2901,454,1894
30-08-2015,3280.0,4314.0,8420.0,2218.0,1535,1134,1233,106,301
31-08-2015,3486.0,2904.0,2022.0,4785.0,12176,3397,162,35,607
01-09-2015,1809.0,4596.0,23542.0,7477.0,25698,8119,728,249,1486
02-09-2015,1006.0,10234.0,21848.0,14727.0,51082,14310,1450,188,1186
03-09-2015,1884.0,2903.0,7226.0,5150.0,34921,3690,380,54,303
04-09-2015,1264.0,2791.0,3902.0,2161.0,14498,5312,430,71,492
05-09-2015,752.0,5076.0,10238.0,8300.0,42087,15057,874,212,1603
06-09-2015,4010.0,17244.0,23434.0,15323.0,45110,16354,372,139,1168
07-09-2015,4177.0,19048.0,19805.0,12858.0,12952,5958,1698,300,936
08-09-2015,3218.0,13520.0,14117.0,8728.0,9642,3232,2101,263,1087
09-09-2015,3910.0,10142.0,3191.0,3713.0,2784,609,668,99,633
10-09-2015,1615.0,3723.0,1916.0,3346.0,6876,4247,133,42,367
11-09-2015,1747.0,2904.0,6965.0,14153.0,33959,10346,317,113,873
12-09-2015,4113.0,7815.0,16561.0,15136.0,37346,6450,979,313,1785
13-09-2015,3596.0,12513.0,18496.0,15811.0,33020,9009,1211,196,1716
14-09-2015,3097.0,13570.0,27602.0,20825.0,36005,8788,1205,493,3357
15-09-2015,3258.0,20425.0,23528.0,13318.0,36592,11875,2361,322,1649
16-09-2015,2410.0,8385.0,12464.0,10376.0,30180,9109,396,79,565
17-09-2015,3285.0,15314.0,24308.0,17305.0,57987,15518,1212,126,1160
18-09-2015,3821.0,11135.0,29199.0,23593.0,49710,13153,3744,683,3028
19-09-2015,5188.0,29066.0,16203.0,9425.0,26281,2419,3563,577,1273
20-09-2015,2622.0,20181.0,7173.0,3669.0,27035,7862,799,44,195
21-09-2015,883.0,7228.0,1732.0,1797.0,6770,2983,242,23,636
22-09-2015,1331.0,3098.0,6899.0,8350.0,21075,5176,974,114,877
23-09-2015,3156.0,11602.0,6672.0,3325.0,3158,1420,1285,152,1089
24-09-2015,2260.0,9062.0,11042.0,9133.0,28681,8915,1038,120,325
25-09-2015,4359.0,17191.0,22059.0,7826.0,29528,3205,446,46,284
26-09-2015,5567.0,16839.0,11243.0,8938.0,23693,2913,502,75,754
27-09-2015,5680.0,23131.0,11963.0,5144.0,9921,1620,665,114,751
28-09-2015,2080.0,4940.0,7505.0,4226.0,1371,648,1938,189,1048
29-09-2015,7473.0,15693.0,14844.0,1786.0,433,370,721,54,515
30-09-2015,7730.0,21886.0,13663.0,7512.0,10663,448,2034,328,862
01-10-2015,6521.0,25099.0,19633.0,11974.0,30869,3359,2291,325,2734
02-10-2015,7219.0,30767.0,31690.0,15241.0,29434,3642,3728,634,3326
03-10-2015,4488.0,15100.0,7163.0,2278.0,4843,708,1536,55,527
04-10-2015,7780.0,18731.0,3272.0,442.0,220,534,1080,61,523
05-10-2015,3970.0,6546.0,9937.0,3794.0,9497,1649,1390,143,503
06-10-2015,1621.0,11337.0,23431.0,24101.0,56706,16854,1564,364,2593
07-10-2015,3671.0,18227.0,24506.0,27120.0,60527,17896,405,167,1984
08-10-2015,2487.0,13677.0,12803.0,16444.0,36119,7056,389,35,880
09-10-2015,1969.0,9489.0,5340.0,6419.0,18637,3985,853,32,392
10-10-2015,861.0,2340.0,1492.0,3121.0,14306,6364,993,32,68
11-10-2015,2027.0,3868.0,1007.0,5586.0,16625,4553,307,38,709
