ARIMA,AIC 2015-04-02 00:00:00,AIC 2017-09-08 00:00:00,AIC 2019-04-01 00:00:00,AIC 2018-12-30 00:00:00,AIC 2018-10-12 00:00:00,AIC 2014-11-07 00:00:00,AIC 2015-12-05 00:00:00,AIC 2015-02-27 00:00:00,AIC 2017-04-10 00:00:00,AIC 2018-10-06 00:00:00,AIC 2017-01-06 00:00:00,AIC 2017-02-22 00:00:00,AIC 2018-02-24 00:00:00,AIC 2016-08-16 00:00:00,AIC 2018-12-02 00:00:00,AIC 2015-09-03 00:00:00,AIC 2015-01-09 00:00:00,AIC 2017-03-26 00:00:00,AIC 2014-08-28 00:00:00,AIC 2019-03-08 00:00:00,AIC 2016-09-06 00:00:00,AIC 2016-12-03 00:00:00,AIC 2017-11-26 00:00:00,AIC 2018-10-09 00:00:00,AIC 2018-10-19 00:00:00,AIC 2014-07-05 00:00:00,AIC 2018-05-26 00:00:00,AIC 2016-12-29 00:00:00,AIC 2015-12-28 00:00:00,AIC 2018-07-17 00:00:00,Median AIC
"(0, 1, 5)",72.707,3.323,-38.445,-19.668,206.718,-72.348,-57.19,74.02,-44.552,35.394,-23.829,2.419,225.64,-157.859,-8.072,-180.133,75.501,45.755,82.285,118.733,-20.561,-124.292,159.586,111.992,58.821,112.305,48.02,-165.487,-40.372,68.779,19.359
"(1, 0, 0)",78.601,4.027,-32.914,-26.468,220.858,-47.938,-51.84,76.586,-28.009,52.211,-12.637,0.479,239.562,-158.548,0.996,-177.866,86.962,56.122,82.391,123.475,-21.069,-115.69,182.217,120.786,64.219,112.998,52.615,-149.438,2.977,68.404,28.119
"(1, 0, 1)",65.526,-0.176,-37.609,-24.465,203.877,-84.265,-63.87,61.67,-45.809,38.575,-29.885,-3.182,217.575,-176.512,-13.483,-190.789,67.746,38.209,76.861,116.79,-35.681,-131.892,152.909,110.556,53.649,99.049,36.64,-168.815,-34.764,69.897,18.232
"(1, 0, 2)",65.719,-0.072,-35.617,-24.61,201.435,-85.236,-63.41,62.646,-44.62,34.982,-31.171,-3.565,216.123,-177.796,-14.42,-189.033,66.934,39.364,78.302,116.562,-34.844,-131.673,150.296,109.251,54.139,98.822,37.476,-172.239,-45.842,71.751,17.455
"(1, 0, 3)",67.659,1.884,-34.804,-22.653,201.601,-85.578,-61.739,64.46,-42.644,34.296,-29.233,-1.651,216.748,-175.809,-12.568,-187.443,68.728,39.4,80.268,117.162,-32.894,-129.689,151.621,109.395,55.282,100.413,38.963,-170.85,-44.514,73.744,18.09
"(1, 0, 4)",67.011,3.276,-33.8,-20.667,203.209,-83.678,-61.406,65.83,-41.118,36.033,-28.143,0.25,217.554,-174.244,-12.753,-185.653,70.563,41.27,81.832,118.243,-31.709,-127.773,151.695,109.646,54.268,99.349,40.492,-169.954,-43.505,69.755,19.655
"(1, 0, 5)",68.752,2.802,-37.246,-20.174,205.016,-81.86,-59.589,67.821,-44.786,36.939,-26.561,1.754,219.265,-173.31,-12.261,-183.798,71.988,41.945,82.848,117.296,-29.708,-125.802,153.485,111.204,55.668,95.596,29.999,-167.967,-41.884,68.417,16.4
"(1, 1, 0)",74.01,5.236,-33.298,-23.212,206.741,-62.73,-62.0,72.394,-41.074,37.729,-27.522,0.898,236.68,-163.77,-9.97,-185.968,78.5,46.37,89.798,126.374,-6.298,-131.317,158.96,113.217,57.4,115.023,49.087,-172.232,-38.645,74.296,21.483
"(1, 1, 1)",75.615,7.215,-31.967,-21.674,208.577,-63.86,-60.011,73.648,-40.14,39.72,-25.618,2.821,237.445,-162.119,-7.967,-184.566,79.969,47.498,89.019,128.183,-6.335,-129.45,160.135,115.168,59.397,116.658,50.259,-170.754,-37.017,76.278,23.467
"(1, 1, 2)",65.254,-0.227,-42.92,-20.736,207.325,-79.32,-58.194,75.65,-42.326,40.796,-24.325,-1.444,221.611,-160.74,-9.504,-184.068,81.302,49.477,74.442,119.843,-28.147,-127.71,156.965,113.792,61.371,118.587,52.262,-169.041,-39.456,69.035,20.284
