Month,Weekday,Hour,Factor
4,3,23,0.920665
4,4,0,0.917066
4,4,1,0.892155
4,4,2,0.889617
4,4,3,0.891732
4,4,4,0.900898
4,4,5,0.951167
4,4,6,1.02424
4,4,7,1.12136
4,4,8,1.15805
4,4,9,1.10839
4,4,10,1.0726
4,4,11,1.04744
4,4,12,1.01983
4,4,13,1.01028
4,4,14,0.993782
4,4,15,0.978637
4,4,16,0.982531
4,4,17,0.988082
4,4,18,1.00836
4,4,19,1.02584
4,4,20,1.01941
4,4,21,1.00646
4,4,22,0.976291
4,4,23,0.945884
4,5,0,0.930094
4,5,1,0.916859
4,5,2,0.912966
4,5,3,0.913733
4,5,4,0.926482
4,5,5,0.965616
4,5,6,1.01648
4,5,7,1.09598
4,5,8,1.16096
4,5,9,1.09149
4,5,10,1.07573
4,5,11,1.04549
4,5,12,1.02075
4,5,13,0.997019
4,5,14,0.981904
4,5,15,0.971956
4,5,16,0.984336
4,5,17,0.998017
4,5,18,1.01066
4,5,19,1.02024
4,5,20,1.00973
4,5,21,1.00813
4,5,22,0.983318
4,5,23,0.951651
4,6,0,1.00892
4,6,1,0.980095
4,6,2,0.967959
4,6,3,0.966847
4,6,4,0.969384
4,6,5,0.973233
4,6,6,0.989814
4,6,7,1.00071
4,6,8,1.02585
4,6,9,1.04316
4,6,10,1.03177
4,6,11,1.02317
4,6,12,1.00253
4,6,13,0.984539
4,6,14,0.974974
4,6,15,0.967233
4,6,16,0.970198
4,6,17,0.99504
4,6,18,1.02025
4,6,19,1.04161
4,6,20,1.04418
4,6,21,1.03862
4,6,22,1.01987
4,6,23,0.992569
4,7,0,0.996852
4,7,1,0.979907
4,7,2,0.970991
4,7,3,0.964184
4,7,4,0.965266
4,7,5,0.965826
4,7,6,0.969584
4,7,7,0.982198
4,7,8,1.00413
4,7,9,1.02154
4,7,10,1.02305
4,7,11,1.02011
4,7,12,1.00138
4,7,13,0.988871
4,7,14,0.981257
4,7,15,0.980824
4,7,16,0.980629
4,7,17,0.990667
4,7,18,1.02578
4,7,19,1.0477
4,7,20,1.06845
4,7,21,1.05543
