Period,mape,smape,mae,rmse
207.000,3.755,3.691,1.476,1.730
208.000,4.267,4.177,1.673,1.910
209.000,5.701,5.503,2.215,2.479
210.000,6.617,6.344,2.468,2.731
211.000,6.403,6.149,2.380,2.621
212.000,6.394,6.149,2.370,2.562
213.000,6.802,6.539,2.504,2.644
214.000,5.629,5.412,2.014,2.318
215.000,4.995,4.804,1.752,2.149
216.000,5.111,4.923,1.761,2.106
217.000,5.540,5.326,1.911,2.247
218.000,4.785,4.615,1.622,1.985
219.000,4.647,4.490,1.570,1.912
220.000,4.864,4.704,1.648,1.950
221.000,4.810,4.665,1.632,1.891
222.000,5.230,5.072,1.778,2.001
223.000,5.441,5.288,1.851,2.005
224.000,4.689,4.625,1.615,1.745
225.000,6.160,5.943,2.108,2.307
226.000,6.274,6.061,2.155,2.294
227.000,4.583,4.476,1.577,1.696
228.000,2.601,2.581,0.895,1.167
229.000,2.885,2.860,0.994,1.245
230.000,3.450,3.402,1.183,1.384
231.000,5.660,5.489,1.950,2.030
232.000,3.748,3.662,1.283,1.435
233.000,3.912,3.857,1.344,1.492
234.000,3.339,3.367,1.155,1.462
235.000,3.265,3.314,1.131,1.461
236.000,3.643,3.742,1.262,1.659
237.000,4.513,4.669,1.552,1.987
238.000,5.693,5.963,1.963,2.496
239.000,6.026,6.297,2.083,2.578
240.000,6.584,6.872,2.269,2.687
241.000,7.440,7.780,2.543,2.881
242.000,8.719,9.240,2.950,3.365
243.000,10.513,11.295,3.527,4.003
244.000,12.902,14.055,4.259,4.697
245.000,13.213,14.357,4.276,4.626
246.000,12.337,13.384,3.930,4.347
247.000,11.851,12.995,3.792,4.587
248.000,12.672,14.015,4.096,5.059
249.000,15.724,17.572,5.135,5.956
250.000,15.829,17.705,5.213,6.060
251.000,14.700,16.390,4.833,5.755
252.000,13.489,15.000,4.424,5.449
253.000,14.432,16.025,4.744,5.613
254.000,15.870,17.625,5.256,5.931
255.000,16.414,18.174,5.461,5.983
256.000,16.542,18.221,5.521,5.902
257.000,14.987,16.266,4.992,5.282
258.000,13.753,14.665,4.514,4.722
259.000,17.864,19.697,5.975,6.113
260.000,14.615,15.812,4.903,4.989
261.000,8.271,8.666,2.771,2.891
262.000,5.236,5.412,1.751,1.936
263.000,4.569,4.702,1.526,1.705
264.000,4.329,4.431,1.452,1.586
265.000,6.047,6.273,2.062,2.246
266.000,6.200,6.435,2.127,2.307
267.000,6.202,6.516,2.262,2.995
268.000,5.688,5.980,2.112,2.932
269.000,6.088,6.399,2.279,3.036
270.000,5.132,5.382,1.946,2.773
271.000,5.315,5.578,2.011,2.829
272.000,4.809,5.029,1.833,2.632
273.000,4.626,4.811,1.767,2.481
274.000,4.535,4.691,1.731,2.378
275.000,4.648,4.852,1.786,2.549
276.000,4.854,5.043,1.863,2.556
277.000,5.731,5.958,2.194,2.831
278.000,5.009,5.149,1.925,2.523
279.000,4.379,4.418,1.685,2.220
280.000,4.437,4.450,1.702,2.182
281.000,7.567,7.235,2.792,3.088
282.000,6.323,6.051,2.330,2.795
283.000,7.558,7.199,2.792,3.230
284.000,6.339,6.089,2.346,2.783
285.000,6.436,6.196,2.366,2.816
286.000,8.169,7.761,2.995,3.407
287.000,8.626,8.179,3.165,3.566
288.000,6.912,6.581,2.537,3.058
289.000,6.385,6.103,2.358,2.829
290.000,5.361,5.179,1.998,2.361
291.000,5.824,5.645,2.188,2.544
292.000,7.075,6.770,2.663,3.157
293.000,8.430,7.980,3.163,3.715
294.000,9.633,9.086,3.612,4.076
295.000,9.084,8.624,3.424,3.784
296.000,6.391,6.157,2.418,2.901
297.000,6.586,6.467,2.629,3.231
298.000,6.209,6.141,2.511,3.159
299.000,6.395,6.380,2.649,3.240
300.000,6.966,6.932,2.889,3.364
301.000,7.780,7.496,3.194,3.734
302.000,8.883,8.509,3.658,4.082
303.000,8.267,7.993,3.447,3.838
304.000,7.521,7.366,3.194,3.519
305.000,5.785,5.825,2.571,3.074
306.000,4.932,5.060,2.271,3.098
307.000,4.959,5.106,2.292,3.163
308.000,5.144,5.313,2.376,3.291
309.000,5.737,5.837,2.613,3.299
310.000,7.155,7.047,3.147,3.515
311.000,11.033,10.399,4.684,4.914
312.000,10.542,9.964,4.469,4.767
313.000,14.150,13.115,5.924,6.252
314.000,9.897,9.259,4.073,4.786
315.000,9.761,9.147,3.989,4.665
316.000,8.980,8.433,3.670,4.403
317.000,8.637,8.128,3.547,4.257
318.000,9.767,9.177,4.025,4.611
319.000,10.592,9.914,4.356,4.944
320.000,9.913,9.298,4.076,4.699
321.000,10.520,9.880,4.320,4.790
322.000,10.050,9.468,4.122,4.554
323.000,9.093,8.607,3.728,4.148
