Date,Hour,MAE d,MAE s
2014-07-22,12,45.76,37.7
2014-07-22,13,44.87,37.82
2014-07-22,14,44.52,38.15
2014-07-22,15,43.51,35.39
2014-07-22,16,43.26,36.6
2014-07-22,17,37.7,33.7
2014-07-22,18,36.88,33.49
2014-07-22,19,42.94,31.73
2014-07-22,20,43.32,31.96
2014-07-22,21,44.47,33.11
2014-07-22,22,43.04,31.31
2014-07-22,23,38.52,33.04
2014-07-23,0,36.46,31.65
2014-07-23,1,35.15,30.27
2014-07-23,2,35.61,31.55
2014-07-23,3,34.82,31.87
2014-07-23,4,35.01,31.98
2014-07-23,5,36.94,30.73
2014-07-23,6,43.45,34.07
2014-07-23,7,37.98,32.74
2014-07-23,8,40.49,31.02
2014-07-23,9,42.04,37.55
2014-07-23,10,43.36,37.35
2014-07-23,11,45.7,37.48
2014-07-23,12,45.8,37.83
2014-07-23,13,46.44,37.71
2014-07-23,14,45.72,38.43
2014-07-23,15,44.94,35.29
2014-07-23,16,44.92,36.0
2014-07-23,17,39.77,34.75
2014-07-23,18,40.11,35.41
2014-07-23,19,46.21,33.67
2014-07-23,20,46.32,33.96
2014-07-23,21,46.18,34.62
2014-07-23,22,45.83,32.87
2014-07-23,23,42.54,34.23
2014-07-24,0,36.66,24.78
2014-07-24,1,35.2,24.85
2014-07-24,2,32.97,25.01
2014-07-24,3,32.03,25.11
2014-07-24,4,32.29,25.01
2014-07-24,5,34.22,24.94
2014-07-24,6,40.86,24.22
2014-07-24,7,42.25,26.26
2014-07-24,8,43.41,24.28
2014-07-24,9,42.84,29.95
2014-07-24,10,45.44,29.11
2014-07-24,11,48.28,29.21
2014-07-24,12,48.08,29.73
2014-07-24,13,47.33,29.76
2014-07-24,14,47.42,30.51
2014-07-24,15,46.85,29.83
2014-07-24,16,46.55,27.62
2014-07-24,17,41.53,26.62
2014-07-24,18,43.02,23.1
2014-07-24,19,47.89,23.96
2014-07-24,20,42.33,25.02
2014-07-24,21,42.37,25.81
2014-07-24,22,41.36,25.95
2014-07-24,23,38.36,28.04
2014-07-25,0,41.02,26.16
2014-07-25,1,36.91,25.12
2014-07-25,2,36.04,25.21
2014-07-25,3,35.56,25.43
2014-07-25,4,34.43,25.16
2014-07-25,5,37.15,25.78
2014-07-25,6,51.76,24.38
2014-07-25,7,44.37,27.64
2014-07-25,8,45.81,23.2
2014-07-25,9,46.8,27.47
2014-07-25,10,49.39,31.86
2014-07-25,11,50.68,31.07
2014-07-25,12,49.72,32.14
2014-07-25,13,49.08,34.98
2014-07-25,14,49.13,35.38
2014-07-25,15,49.32,34.81
2014-07-25,16,49.58,36.53
2014-07-25,17,43.17,38.49
2014-07-25,18,45.22,34.93
2014-07-25,19,49.11,32.64
2014-07-25,20,44.62,36.4
2014-07-25,21,44.09,29.57
2014-07-25,22,40.79,29.32
2014-07-25,23,38.43,30.54
2014-07-26,0,38.68,25.6
2014-07-26,1,37.57,27.87
2014-07-26,2,36.78,27.46
2014-07-26,3,35.21,27.78
2014-07-26,4,35.91,27.11
2014-07-26,5,36.21,26.45
2014-07-26,6,38.46,27.06
2014-07-26,7,32.89,33.05
2014-07-26,8,36.67,27.26
2014-07-26,9,37.31,30.69
2014-07-26,10,39.61,30.47
2014-07-26,11,42.76,30.69
2014-07-26,12,42.37,32.43
2014-07-26,13,42.43,33.44
2014-07-26,14,43.31,33.3
2014-07-26,15,43.66,32.49
2014-07-26,16,44.78,31.54
2014-07-26,17,40.43,29.96
2014-07-26,18,42.38,30.22
2014-07-26,19,47.99,30.49
2014-07-26,20,46.09,31.39
2014-07-26,21,44.96,23.81
2014-07-26,22,44.76,26.08
2014-07-26,23,41.89,27.44
2014-07-27,0,43.46,27.21
2014-07-27,1,42.15,27.53
2014-07-27,2,41.32,28.11
2014-07-27,3,39.05,27.64
2014-07-27,4,39.12,28.96
2014-07-27,5,39.07,28.03
2014-07-27,6,39.39,27.72
2014-07-27,7,35.31,29.81
2014-07-27,8,37.14,25.97
2014-07-27,9,41.28,32.98
2014-07-27,10,44.7,33.07
2014-07-27,11,49.9,32.7
2014-07-27,12,51.28,33.43
2014-07-27,13,50.78,33.46
2014-07-27,14,50.83,33.37
2014-07-27,15,50.72,35.06
2014-07-27,16,50.61,35.08
2014-07-27,17,45.63,35.42
2014-07-27,18,45.4,33.61
2014-07-27,19,52.06,36.17
2014-07-27,20,48.87,32.49
2014-07-27,21,48.97,28.22
2014-07-27,22,49.09,29.29
2014-07-27,23,44.31,29.73
2014-07-28,0,44.38,30.37
2014-07-28,1,42.55,31.3
2014-07-28,2,40.95,28.96
2014-07-28,3,39.53,28.81
2014-07-28,4,37.88,28.7
2014-07-28,5,41.7,28.4
2014-07-28,6,51.34,28.34
2014-07-28,7,44.13,29.4
2014-07-28,8,50.86,26.35
2014-07-28,9,50.08,29.43
2014-07-28,10,52.52,33.12
2014-07-28,11,55.47,30.42
2014-07-28,12,54.36,32.58
2014-07-28,13,49.42,28.36
2014-07-28,14,47.88,29.16
2014-07-28,15,47.74,31.48
2014-07-28,16,47.55,30.55
2014-07-28,17,46.67,29.99
2014-07-28,18,47.94,29.33
2014-07-28,19,53.34,28.72
2014-07-28,20,53.18,29.64
2014-07-28,21,52.81,21.92
2014-07-28,22,51.44,23.09
2014-07-28,23,50.47,28.29
2014-07-29,0,38.27,28.76
2014-07-29,1,35.71,29.81
2014-07-29,2,35.67,30.63
2014-07-29,3,35.53,30.04
2014-07-29,4,35.43,30.21
2014-07-29,5,38.28,29.08
2014-07-29,6,44.02,29.79
2014-07-29,7,42.83,27.84
2014-07-29,8,41.75,23.68
2014-07-29,9,46.07,26.73
2014-07-29,10,48.61,27.18
2014-07-29,11,51.48,27.56
2014-07-29,12,52.39,26.86
2014-07-29,13,48.36,27.31
2014-07-29,14,48.32,27.22
2014-07-29,15,46.51,28.34
2014-07-29,16,47.21,29.42
2014-07-29,17,42.88,27.44
2014-07-29,18,46.37,28.75
2014-07-29,19,50.64,27.74
2014-07-29,20,50.62,27.62
2014-07-29,21,49.91,24.01
2014-07-29,22,49.24,24.54
2014-07-29,23,38.83,25.86
2014-07-30,0,40.23,25.41
2014-07-30,1,39.12,26.82
2014-07-30,2,39.54,25.84
2014-07-30,3,39.16,24.75
2014-07-30,4,38.6,24.74
2014-07-30,5,39.83,23.47
2014-07-30,6,44.4,25.75
2014-07-30,7,39.63,30.32
2014-07-30,8,43.61,29.29
2014-07-30,9,46.5,31.26
2014-07-30,10,49.44,29.38
2014-07-30,11,52.97,29.24
2014-07-30,12,53.11,29.32
2014-07-30,13,51.58,29.55
2014-07-30,14,50.83,29.75
2014-07-30,15,45.9,34.13
2014-07-30,16,46.24,34.82
2014-07-30,17,43.59,33.95
2014-07-30,18,39.49,34.08
2014-07-30,19,42.98,33.47
2014-07-30,20,39.32,33.19
2014-07-30,21,37.83,24.44
2014-07-30,22,37.51,25.51
2014-07-30,23,36.27,25.92
2014-07-31,0,30.75,25.89
2014-07-31,1,30.4,26.2
2014-07-31,2,30.63,25.24
2014-07-31,3,30.13,25.07
2014-07-31,4,30.36,24.88
2014-07-31,5,30.92,25.04
2014-07-31,6,37.17,26.94
2014-07-31,7,33.89,28.34
2014-07-31,8,33.66,26.0
2014-07-31,9,34.35,29.36
2014-07-31,10,36.45,29.34
2014-07-31,11,41.26,30.25
2014-07-31,12,39.34,30.85
2014-07-31,13,38.47,31.24
2014-07-31,14,38.21,33.22
2014-07-31,15,38.06,40.63
2014-07-31,16,37.81,41.08
2014-07-31,17,31.92,40.61
2014-07-31,18,30.95,40.61
2014-07-31,19,36.72,39.55
2014-07-31,20,34.63,38.39
2014-07-31,21,34.13,29.3
2014-07-31,22,34.04,29.42
2014-07-31,23,33.86,31.98
2014-08-01,0,33.66,31.52
2014-08-01,1,33.22,31.19
2014-08-01,2,33.62,31.31
2014-08-01,3,33.56,31.34
2014-08-01,4,33.15,31.16
2014-08-01,5,33.76,29.19
2014-08-01,6,35.32,31.45
2014-08-01,7,34.54,31.76
2014-08-01,8,34.39,29.73
2014-08-01,9,36.03,33.81
2014-08-01,10,38.6,33.87
2014-08-01,11,41.46,34.2
2014-08-01,12,41.58,34.65
2014-08-01,13,42.48,34.92
2014-08-01,14,41.82,34.67
2014-08-01,15,41.46,34.25
2014-08-01,16,41.44,33.89
2014-08-01,17,36.37,31.83
2014-08-01,18,35.14,31.36
2014-08-01,19,41.15,31.56
2014-08-01,20,40.96,31.72
2014-08-01,21,40.24,28.52
2014-08-01,22,39.03,36.57
2014-08-01,23,34.52,43.1
2014-08-02,0,22.86,31.46
2014-08-02,1,22.81,31.22
2014-08-02,2,22.91,30.38
2014-08-02,3,22.41,29.62
2014-08-02,4,22.21,29.53
2014-08-02,5,22.02,29.85
2014-08-02,6,22.6,30.82
2014-08-02,7,19.31,35.02
2014-08-02,8,25.02,32.05
2014-08-02,9,25.89,37.69
2014-08-02,10,26.81,38.09
2014-08-02,11,28.63,37.75
2014-08-02,12,27.78,38.22
2014-08-02,13,27.88,37.11
2014-08-02,14,26.55,35.97
2014-08-02,15,26.23,32.63
2014-08-02,16,27.39,33.05
2014-08-02,17,23.99,33.22
2014-08-02,18,24.49,33.09
2014-08-02,19,28.29,33.05
2014-08-02,20,27.73,33.18
2014-08-02,21,28.11,29.48
2014-08-02,22,28.51,42.12
2014-08-02,23,23.97,49.25
2014-08-03,0,20.49,32.02
2014-08-03,1,20.18,32.06
2014-08-03,2,20.13,31.3
2014-08-03,3,21.43,30.27
2014-08-03,4,22.57,30.29
2014-08-03,5,23.71,31.43
2014-08-03,6,24.62,31.61
2014-08-03,7,23.22,33.5
2014-08-03,8,25.53,30.56
2014-08-03,9,27.3,35.22
2014-08-03,10,28.46,35.69
2014-08-03,11,32.42,35.16
2014-08-03,12,31.86,35.87
2014-08-03,13,29.42,36.16
2014-08-03,14,28.37,36.93
2014-08-03,15,28.03,33.13
2014-08-03,16,27.1,33.03
2014-08-03,17,26.95,31.1
2014-08-03,18,28.49,31.96
2014-08-03,19,31.07,33.5
2014-08-03,20,31.7,35.54
2014-08-03,21,31.16,33.74
2014-08-03,22,31.49,47.44
2014-08-03,23,28.34,54.45
2014-08-04,0,33.33,28.11
2014-08-04,1,31.55,28.0
