Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
2029.17,-197.357,3001.6,3004.34,132.815,-86.9833,2054.6,-1295.3,-4163.15,5224.01,-4303.5,-625.777,2123.91,1098.51
1546.49,219.105,2586.1,3466.76,-422.798,346.868,2647.29,-614.984,-3400.88,5384.65,-3805.12,-54.939,828.237,1738.15
836.153,2639.65,154.301,1530.02,1551.68,-953.673,-415.489,-3035.33,3006.99,-1160.98,-1907.11,780.02,2815.97,-1360.11
864.64,2714.19,310.093,1852.7,860.632,-507.924,-221.358,-2765.3,3207.54,-913.124,-1650.08,1149.7,3200.71,-1007.57
898.464,2677.93,504.221,2100.03,1278.24,-85.8959,-94.7797,-2695.44,3361.3,-593.066,-1492.57,1334.76,3466.19,-654.412
1063.79,2771.99,637.713,2273.9,1223.7,254.848,-76.0838,-2533.25,3657.92,-319.227,-1468.53,1482.54,3517.61,-465.939
1193.96,2880.88,729.819,2310.23,1331.43,372.707,-156.371,-2511.05,3744.68,-185.343,-1478.35,1656.9,3606.45,-367.822
1274.14,2784.07,489.297,2008.78,734.135,345.692,-332.63,-2776.31,3697.83,-783.464,-1743.44,1374.13,3518.74,-352.348
4299.34,1870.54,-506.284,2932.55,1717.23,365.672,-329.929,-4886.45,3746.76,-2331.15,-3103.77,189.004,3057.74,-450.535
4992.85,3254.28,-76.124,2355.7,2418.09,534.753,-9.40144,-2635.8,5280.46,-2271.82,-2620.86,1581.29,2730.94,90.3729
5417.47,3508.96,879.928,2035.74,3369.75,188.647,-447.711,-2912.81,6845.01,-1792.54,-2702.71,914.424,4061.88,0.29508
5514.2,3239.84,873.118,2388.94,3141.42,-67.4002,-930.458,-4097.73,7318.24,-2243.36,-2225.99,1199.22,4892.12,-327.365
5438.42,3337.34,1117.39,2458.94,3236.21,266.361,-1373.52,-3948.54,6760.98,-1973.34,-2135.16,1000.51,5847,-915.241
5629.82,3280,1229.64,2554.54,3116.91,207.959,-1728.17,-4556.2,6214.52,-1899.6,-2147.57,1240.61,4624.48,-1463.43
5610.89,2948.95,735.627,2599.46,2440.68,512.638,-1698.93,-4950.35,5600.31,-2650.79,-1925.57,1736.4,2957.57,-1910.06
5381.96,3091.62,685.055,2368.8,1427.74,274.13,-1577.63,-4905.36,5631.32,-3402.57,-1883.29,2093.85,1796.25,-1877.73
5022.4,3509.62,1029.6,2195.13,177.236,417.565,-1868.16,-4645.3,4856.05,-2799.62,-1341.73,2162.51,824.143,-1909.69
3649.24,3578.08,1299.91,2019.41,-672.045,674.507,-2627.14,-4207.4,4400.37,-3051.83,-867.835,1857.96,2664.62,-1819.59
3258.57,3701.54,2729.08,1693.2,-846.253,721.179,-3448.6,-3025.66,4607.97,-2486.68,-651.663,1755.85,4464.74,-236.448
2489.72,3233.99,3127.55,1087.25,-104.495,1177.13,-4334.72,-3265.71,5094.15,-4262.34,-827.737,1311.43,4141.39,515.152
153.195,3036.58,3199.46,884.304,-957.407,564.584,-4485.78,-3823.85,4600.46,-5641.55,-1285.77,1917.61,4053.92,881.474
-216.982,2686.5,4383.49,793.151,-714.196,569.411,-4403.9,-3753.76,4840.27,-5856.71,-1634.05,2747.94,3236.42,1671.55
-301.368,2725.97,4116.74,798.485,-655.442,982.545,-4309.57,-3590.45,4808.45,-5483.69,-1650.3,3199.26,1668.29,1920.66
-538.571,2929.97,3395.01,378.951,-447.228,1746.66,-3855.38,-4863.09,5003.01,-4808.38,-1385.02,2608.22,751.463,902.962
-197.357,3001.6,3004.34,132.815,-86.9833,2054.6,-3678.05,-4163.15,5224.01,-4303.5,-625.777,2123.91,1098.51,1468.14
219.105,2586.1,3466.76,-422.798,346.868,2647.29,-2868.28,-3400.88,5384.65,-3805.12,-54.939,828.237,1738.15,-547.362
