Date,Wind DK
2016-12-08,68543
2016-12-09,53821
2016-12-10,57062
2016-12-11,41563
2016-12-12,16647
2016-12-13,11657
2016-12-14,5398
2016-12-15,20484
2016-12-16,10976
2016-12-17,18965
2016-12-18,15223
2016-12-19,12136
2016-12-20,19412
2016-12-21,65436
2016-12-22,53868
2016-12-23,66783
2016-12-24,78678
2016-12-25,68586
2016-12-26,66286
2016-12-27,63103
2016-12-28,26587
2016-12-29,44847
2016-12-30,57949
2016-12-31,77941
2017-01-01,39622
2017-01-02,25059
2017-01-03,70520
2017-01-04,74705
2017-01-05,27656
2017-01-06,37140
2017-01-07,46800
2017-01-08,10325
2017-01-09,45441
2017-01-10,61402
2017-01-11,88485
2017-01-12,76793
2017-01-13,14922
2017-01-14,42969
2017-01-15,17987
2017-01-16,7717
2017-01-17,16108
2017-01-18,46706
2017-01-19,39021
2017-01-20,39796
2017-01-21,9617
2017-01-22,4329
2017-01-23,12450
2017-01-24,17883
2017-01-25,23441
2017-01-26,14507
2017-01-27,28398
2017-01-28,21503
2017-01-29,32796
2017-01-30,19672
2017-01-31,26109
2017-02-01,32706
2017-02-02,44920
2017-02-03,37422
2017-02-04,24029
2017-02-05,26792
2017-02-06,45000
2017-02-07,67603
2017-02-08,55144
2017-02-09,22254
2017-02-10,49408
2017-02-11,68650
2017-02-12,51514
2017-02-13,9724
2017-02-14,8390
2017-02-15,8747
2017-02-16,44113
2017-02-17,15874
2017-02-18,37896
2017-02-19,57234
2017-02-20,86287
2017-02-21,83624
2017-02-22,94288
2017-02-23,46298
2017-02-24,41631
2017-02-25,54432
2017-02-26,50194
2017-02-27,64738
2017-02-28,84299
2017-03-01,71044
2017-03-02,38568
2017-03-03,49205
2017-03-04,37229
2017-03-05,47227
2017-03-06,68408
2017-03-07,18573
2017-03-08,32490
2017-03-09,31745
2017-03-10,42319
2017-03-11,7975
2017-03-12,30769
2017-03-13,16413
2017-03-14,55821
2017-03-15,83750
2017-03-16,58935
2017-03-17,68988
2017-03-18,56426
2017-03-19,36063
2017-03-20,36414
2017-03-21,80011
2017-03-22,41848
2017-03-23,8595
2017-03-24,13357
2017-03-25,37365
2017-03-26,7152
2017-03-27,18199
2017-03-28,6478
2017-03-29,17444
2017-03-30,34728
2017-03-31,27994
2017-04-01,10825
2017-04-02,11282
2017-04-03,12319
2017-04-04,15996
2017-04-05,65451
2017-04-06,62173
2017-04-07,71927
2017-04-08,39603
2017-04-09,36245
2017-04-10,87906
2017-04-11,74673
2017-04-12,74829
2017-04-13,70676
2017-04-14,41727
2017-04-15,39205
2017-04-16,15046
2017-04-17,28866
2017-04-18,27099
2017-04-19,8052
2017-04-20,47199
