Date,temperature,snow_mass
2015-11-22,-6.16129,11.6507
2015-11-23,-3.51487,12.5207
2015-11-24,0.808792,13.2802
2015-11-25,-0.897958,13.4774
2015-11-26,-1.0245,14.1543
2015-11-27,3.91854,12.1202
2015-11-28,0.990833,11.6331
2015-11-29,0.079875,15.225
2015-11-30,-0.892167,17.1301
2015-12-01,-0.817375,18.732
2015-12-02,1.15575,19.9904
2015-12-03,0.419583,19.575
2015-12-04,1.07042,23.5356
2015-12-05,3.86004,20.819
2015-12-06,3.52596,20.5674
2015-12-07,0.714167,21.2096
2015-12-08,2.71408,21.5486
2015-12-09,3.06358,21.4115
2015-12-10,3.31854,21.6776
2015-12-11,-0.028,23.0701
2015-12-12,-1.45037,24.2242
2015-12-13,-3.27204,24.9997
2015-12-14,-4.65562,26.2915
2015-12-15,-5.07113,27.7202
2015-12-16,-3.33858,28.7815
2015-12-17,0.22425,31.2747
2015-12-18,2.72204,30.6298
2015-12-19,3.63937,28.8662
2015-12-20,5.2335,26.8142
2015-12-21,3.76246,25.957
2015-12-22,2.3825,26.438
2015-12-23,1.7445,27.1745
2015-12-24,3.4855,27.2181
2015-12-25,1.57921,27.9575
2015-12-26,-3.75933,30.3918
2015-12-27,-5.33063,33.1135
2015-12-28,-5.09733,34.494
2015-12-29,-2.91917,34.3298
2015-12-30,0.0275,34.539
2015-12-31,-0.4975,34.7927
2016-01-01,-0.263125,36.2439
2016-01-02,-4.31896,37.7333
2016-01-03,-9.02125,38.3993
2016-01-04,-11.0755,38.7387
2016-01-05,-11.2718,39.2227
2016-01-06,-12.7372,39.4477
2016-01-07,-14.0807,39.715
2016-01-08,-12.7287,40.2985
2016-01-09,-11.514,41.5254
2016-01-10,-7.50121,48.1116
2016-01-11,-5.35225,53.655
2016-01-12,-7.38367,54.4469
2016-01-13,-10.0414,55.606
2016-01-14,-11.8367,56.8054
2016-01-15,-12.2413,58.0507
2016-01-16,-11.5656,60.1198
2016-01-17,-10.6623,61.2922
2016-01-18,-9.08121,63.5991
2016-01-19,-10.3775,65.1345
2016-01-20,-10.8371,66.1866
2016-01-21,-10.2734,67.0249
2016-01-22,-8.50362,67.1839
2016-01-23,-3.72442,69.0073
2016-01-24,-2.15825,68.1101
2016-01-25,-0.688333,66.5019
2016-01-26,0.536667,61.9525
2016-01-27,0.482125,59.6722
2016-01-28,-0.418375,62.9551
2016-01-29,0.975167,60.7041
2016-01-30,-0.584875,59.0619
2016-01-31,-2.42671,62.4593
2016-02-01,-2.53363,65.2973
2016-02-02,-0.819833,67.3671
2016-02-03,-2.82933,68.8968
2016-02-04,-3.71271,71.5996
2016-02-05,-2.89733,73.3614
2016-02-06,0.319375,72.835
2016-02-07,1.09842,70.3142
2016-02-08,0.907917,67.4136
2016-02-09,0.03925,68.4607
2016-02-10,-1.82267,69.2089
2016-02-11,-3.54967,69.7913
2016-02-12,-5.89217,70.3906
2016-02-13,-6.75175,71.6368
2016-02-14,-8.977,71.8496
2016-02-15,-7.18417,72.4356
2016-02-16,-5.55283,73.0989
2016-02-17,-1.164,73.6826
2016-02-18,-4.52308,73.9097
2016-02-19,-3.11112,74.3262
2016-02-20,-1.24238,79.3738
2016-02-21,-1.96462,82.1734
2016-02-22,-3.42383,83.1298
2016-02-23,-3.26325,83.7792
2016-02-24,-3.03321,84.788
2016-02-25,-3.959,85.728
2016-02-26,-3.579,86.8722
2016-02-27,-3.50662,87.5608
2016-02-28,-3.45233,88.0673
2016-02-29,-4.0825,88.3206
2016-03-01,-3.20017,89.1599
2016-03-02,-2.761,94.3657
2016-03-03,-2.40496,99.57
2016-03-04,-1.97258,100.579
2016-03-05,-2.41025,101.568
2016-03-06,-2.54663,102.862
2016-03-07,-2.53717,105.077
2016-03-08,-3.85846,104.541
2016-03-09,-2.52925,102.705
2016-03-10,-1.23183,100.462
2016-03-11,-1.54392,98.0349
2016-03-12,-0.993667,96.1442
2016-03-13,0.771583,94.3782
2016-03-14,2.65537,88.7134
2016-03-15,3.44942,81.9878
2016-03-16,3.14467,77.9847
2016-03-17,2.14517,75.5848
2016-03-18,0.595167,74.4505
2016-03-19,0.653167,74.3328
2016-03-20,1.1775,74.4104
2016-03-21,0.594667,74.6062
2016-03-22,0.617208,74.6768
2016-03-23,0.0774583,74.399
2016-03-24,-0.0880417,74.5536
2016-03-25,1.093,74.9713
2016-03-26,2.27842,74.0003
2016-03-27,3.33837,71.3885
2016-03-28,3.74221,69.1045
2016-03-29,3.12808,67.3375
2016-03-30,1.08592,66.5759
2016-03-31,-0.125083,66.6109
2016-04-01,0.706542,66.7469
2016-04-02,2.17783,67.3513
2016-04-03,3.00929,66.7671
2016-04-04,4.15625,65.4042
2016-04-05,4.33933,63.6311
2016-04-06,3.92537,62.1788
